Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2018-02-26,The Dark Tower,2017,https://letterboxd.com/spur_22/film/the-dark-tower/,,,2017-12-01
2018-02-26,Spy Game,2001,https://letterboxd.com/spur_22/film/spy-game/,,,2017-12-02
2018-02-26,Obsession,1976,https://letterboxd.com/spur_22/film/obsession-1976/,,,2017-12-03
2018-02-26,The Getaway,1972,https://letterboxd.com/spur_22/film/the-getaway/,,,2017-12-05
2018-02-26,Torn Curtain,1966,https://letterboxd.com/spur_22/film/torn-curtain/,,,2017-12-06
2018-02-26,Days of Heaven,1978,https://letterboxd.com/spur_22/film/days-of-heaven/,,,2017-12-07
2018-02-26,The Getaway,1994,https://letterboxd.com/spur_22/film/the-getaway-1994/,,,2017-12-08
2018-02-26,Close Encounters of the Third Kind,1977,https://letterboxd.com/spur_22/film/close-encounters-of-the-third-kind/,,,2017-12-09
2018-02-26,Welcome to the Punch,2013,https://letterboxd.com/spur_22/film/welcome-to-the-punch/,,,2017-12-15
2018-02-26,Dunkirk,2017,https://letterboxd.com/spur_22/film/dunkirk-2017/1/,,,2017-12-16
2018-02-26,Focus,2015,https://letterboxd.com/spur_22/film/focus-2015/,,,2017-12-17
2018-02-26,Veronica,2017,https://letterboxd.com/spur_22/film/veronica-2017-1/,,,2017-12-22
2018-02-26,It,2017,https://letterboxd.com/spur_22/film/it-2017/,,,2017-12-23
2018-02-26,Pearl Harbor,2001,https://letterboxd.com/spur_22/film/pearl-harbor/,,,2017-12-25
2018-02-26,Mambrú se fue a la guerra,1986,https://letterboxd.com/spur_22/film/mambru-se-fue-a-la-guerra/,,,2017-12-26
2018-02-26,American Made,2017,https://letterboxd.com/spur_22/film/american-made/,,,2017-12-27
2018-02-26,Atomic Blonde,2017,https://letterboxd.com/spur_22/film/atomic-blonde/,,,2017-12-28
2018-02-26,Bright,2017,https://letterboxd.com/spur_22/film/bright/,,,2017-12-30
2018-02-26,John Wick: Chapter 2,2017,https://letterboxd.com/spur_22/film/john-wick-chapter-2/,,,2017-12-31
2018-03-06,Annabelle: Creation,2017,https://letterboxd.com/spur_22/film/annabelle-creation/1/,,,2018-01-01
2018-02-26,The Beguiled,2017,https://letterboxd.com/spur_22/film/the-beguiled-2017/,,,2018-01-02
